 0,31 ; 0,38 ;;;;;;;;;;;;;
 0,51 ; 0,54 ;;;;;;;;;;;;;
 0,51 ; 0,54 ;;;;;;;;;;;;;
 0,51 ; 0,54 ;;;;;;;;;;;;;
 0,25 ; 0,29 ;;;;;;;;;;;;;
 0,51 ; 0,54 ;;;;;;;;;;;;;
 0,51 ; 0,54 ;;;;;;;;;;;;;
 0,24 ; 0,28 ;;;;;;;;;;;;;
 0,29 ; 0,56 ;;;;;;;;;;;;;
 0,59 ; 0,62 ;;;;;;;;;;;;;
 0,33 ; 0,38 ;;;;;;;;;;;;;
 0,22 ; 0,26 ;;;;;;;;;;;;;
 0,21 ; 0,22 ;;;;;;;;;;;;;
 0,19 ; 0,20 ;;;;;;;;;;;;;
 0,18 ; 0,23 ;;;;;;;;;;;;;
 0,85 ; 0,85 ;;;;;;;;;;;;;
 0,13 ; 0,15 ;;;;;;;;;;;;;
 0,37 ; 0,60 ;;;;;;;;;;;;;
 0,11 ; 0,12 ;;;;;;;;;;;;;
 0,07 ; 0,08 ;;;;;;;;;;;;;
 0,19 ; 0,21 ;;;;;;;;;;;;;
 0,11 ; 0,19 ;;;;;;;;;;;;;
 0,83 ; 0,83 ;;;;;;;;;;;;;
 0,61 ; 0,67 ;;;;;;;;;;;;;
 0,11 ; 0,19 ;;;;;;;;;;;;;
 0,15 ; 0,19 ;;;;;;;;;;;;;
 0,15 ; 0,19 ;;;;;;;;;;;;;
 0,09 ; 0,10 ;;;;;;;;;;;;;
 0,05 ; 0,08 ;;;;;;;;;;;;;
 1,00 ; 1,00 ;;;;;;;;;;;;;
 0,25 ; 0,30 ;;;;;;;;;;;;;
 0,24 ; 0,40 ;;;;;;;;;;;;;
 0,31 ; 0,35 ;;;;;;;;;;;;;
 0,04 ; 0,06 ;;;;;;;;;;;;;
 0,43 ; 0,43 ;;;;;;;;;;;;;
 0,30 ; 0,38 ;;;;;;;;;;;;;
 0,28 ; 0,33 ;;;;;;;;;;;;;
 0,19 ; 0,24 ;;;;;;;;;;;;;
 0,05 ; 0,06 ;;;;;;;;;;;;;
 0,05 ; 0,06 ;;;;;;;;;;;;;
 0,05 ; 0,06 ;;;;;;;;;;;;;
 0,13 ; 0,19 ;;;;;;;;;;;;;
 0,22 ; 0,42 ;;;;;;;;;;;;;
 0,21 ; 0,40 ;;;;;;;;;;;;;
 0,03 ; 0,05 ;;;;;;;;;;;;;
