filename; file size V1; file size V2; LTS size V1; LTS size V2; Equivalent; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2;133;%Explored V1;% Explored V2;%Match V1;%Match V2;; Explored V2 ; matches V2;% Ex;% match;Inc ex;inc Match;
ALCP667.COB ;1098;693;197;82; False;43;25;41;23;0;0;;22%;30%;21%;28%;;33;23;40%;28%;10%;0%;
ALCP676.COB ;1958;887;326;123; False;47;27;45;25;0;0;;14%;22%;14%;20%;;35;25;28%;20%;6%;0%;
ALCP679.COB ;1586;870;256;118; False;77;32;77;30;0;0;;30%;27%;30%;25%;;50;40;42%;34%;15%;9%;
ALCP680.COB ;575;433;114;48; True;88;42;88;42;0;0;;77%;88%;77%;88%;;42;42;88%;88%;-1%;-1%;
ALCP686.COB ;3501;1400;606;357; False;56;27;56;25;0;0;;9%;8%;9%;7%;;30;26;8%;7%;0%;0%;
ALCP687.COB ;2884;882;304;137; False;82;39;80;37;0;0;;27%;28%;26%;27%;;66;55;48%;40%;20%;13%;
ALCP688.COB ;3488;1207;418;227; False;122;56;122;53;0;0;;29%;25%;29%;23%;;66;51;29%;22%;4%;-1%;
ALCP689.COB ;992;746;217;107; False;25;10;23;8;0;0;;12%;9%;11%;7%;;40;23;37%;21%;28%;14%;
ALCP690.COB ;1176;868;297;131; False;28;11;26;9;0;0;;9%;8%;9%;7%;;57;40;44%;31%;36%;24%;
ALCP691.COB ;972;727;213;103; False;55;25;53;23;0;0;;26%;24%;25%;22%;;64;42;62%;41%;38%;19%;
ALCP692.COB ;2534;1813;883;476; False;84;39;84;37;0;0;;10%;8%;10%;8%;;67;54;14%;11%;6%;3%;
ALCP693.COB ;2773;2260;1238;678; False;68;29;68;27;0;0;;5%;4%;5%;4%;;57;44;8%;6%;4%;2%;
ALCP694.COB ;2645;1980;1042;551; False;100;70;100;67;0;0;;10%;13%;10%;12%;;144;117;26%;21%;13%;9%;
ALCP695.COB ;2388;1674;766;400; False;69;29;69;27;0;0;;9%;7%;9%;7%;;58;45;15%;11%;8%;4%;
ALCP696.COB ;2497;1776;851;451; False;67;29;67;27;0;0;;8%;6%;8%;6%;;58;45;13%;10%;7%;4%;
ALCP697.COB ;2611;1922;985;517; False;67;29;67;27;0;0;;7%;6%;7%;5%;;58;45;11%;9%;5%;4%;
ALCP698.COB ;302;182;59;9; False;26;9;24;9;0;0;;44%;100%;41%;100%;; ERROR; ERROR;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;
ALCP700.COB ;2187;1483;382;171; False;102;39;102;37;0;0;;27%;23%;27%;22%;;65;49;38%;29%;15%;7%;
ALCP701.COB ;482;468;161;67; False;83;37;83;34;0;0;;52%;55%;52%;51%;;43;32;64%;48%;9%;-3%;
ALCP702.COB ;4117;2014;695;315; False;56;25;56;23;0;0;;8%;8%;8%;7%;;102;76;32%;24%;24%;17%;
ALCP703.COB ;1950;1223;443;188; False;94;42;94;40;0;0;;21%;22%;21%;21%;;56;52;30%;28%;8%;7%;
ALCP704.COB ;2316;1666;626;253; False;72;32;72;30;0;0;;12%;13%;12%;12%;;61;51;24%;20%;11%;8%;
ALCP705.COB ;2988;1810;582;257; False;87;38;87;36;0;0;;15%;15%;15%;14%;;67;57;26%;22%;11%;8%;
ALCP706.COB ;3630;1833;796;432; False;90;27;90;25;0;0;;11%;6%;11%;6%;;59;35;14%;8%;8%;2%;
ALCP707.COB ;1426;1074;394;165; False;188;77;188;75;0;0;;48%;47%;48%;45%;;122;122;74%;74%;27%;29%;
ALCP754.COB ;1831;882;294;81; False;49;24;47;22;0;0;;17%;30%;16%;27%;;32;22;40%;27%;10%;0%;
ALCP755.COB ;1752;779;265;59; True;132;35;132;35;0;0;;50%;59%;50%;59%;;35;35;59%;59%;0%;0%;
ALCP787.COB ;1244;862;325;128; False;55;22;55;20;0;0;;17%;17%;17%;16%;;24;20;19%;16%;2%;0%;
ALCP901.COB ;19907;3653;1082;467; False;86;22;86;20;0;0;;8%;5%;8%;4%;;74;48;16%;10%;11%;6%;
ALCP936.COB ;1346;991;367;168; False;32;19;32;13;0;0;;9%;11%;9%;8%;;26;13;15%;8%;4%;0%;
ALCP998.COB ;1601;888;271;116; False;74;29;74;27;0;0;;27%;25%;27%;23%;;50;45;43%;39%;18%;16%;
ALCS024.COB ;4550;2720;1339;586; False;12;7;10;5;0;0;;1%;1%;1%;1%;;38;24;6%;4%;5%;3%;
